window_id,start_time,end_time,label_source,has_anomaly,anomaly_count,expected_signal,drift_type,severity,raw_event_count
hdfs_window_0000,2008-11-09T00:00:00+00:00,2008-11-09T00:01:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,648
hdfs_window_0001,2008-11-09T00:01:00+00:00,2008-11-09T00:02:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,540
hdfs_window_0002,2008-11-09T00:02:00+00:00,2008-11-09T00:03:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,520
hdfs_window_0003,2008-11-09T00:03:00+00:00,2008-11-09T00:04:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,545
hdfs_window_0004,2008-11-09T00:04:00+00:00,2008-11-09T00:05:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,540,anomaly_window,anomaly_window,high,614
hdfs_window_0005,2008-11-09T00:05:00+00:00,2008-11-09T00:06:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,368,anomaly_window,anomaly_window,high,368
hdfs_window_0006,2008-11-09T00:06:00+00:00,2008-11-09T00:07:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,91,anomaly_window,anomaly_window,high,536
hdfs_window_0007,2008-11-09T00:07:00+00:00,2008-11-09T00:08:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,531
hdfs_window_0008,2008-11-09T00:08:00+00:00,2008-11-09T00:09:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,532
hdfs_window_0009,2008-11-09T00:09:00+00:00,2008-11-09T00:10:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,532
hdfs_window_0010,2008-11-09T00:10:00+00:00,2008-11-09T00:11:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,258,anomaly_window,anomaly_window,high,345
hdfs_window_0011,2008-11-09T00:11:00+00:00,2008-11-09T00:12:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,321,anomaly_window,anomaly_window,high,321
hdfs_window_0012,2008-11-09T00:12:00+00:00,2008-11-09T00:13:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,89,anomaly_window,anomaly_window,high,534
hdfs_window_0013,2008-11-09T00:13:00+00:00,2008-11-09T00:14:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,534
hdfs_window_0014,2008-11-09T00:14:00+00:00,2008-11-09T00:15:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,530
hdfs_window_0015,2008-11-09T00:15:00+00:00,2008-11-09T00:16:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,532
hdfs_window_0016,2008-11-09T00:16:00+00:00,2008-11-09T00:17:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,208,anomaly_window,anomaly_window,high,297
hdfs_window_0017,2008-11-09T00:17:00+00:00,2008-11-09T00:18:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,253,anomaly_window,anomaly_window,high,253
hdfs_window_0018,2008-11-09T00:18:00+00:00,2008-11-09T00:19:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,66,anomaly_window,anomaly_window,medium,510
hdfs_window_0019,2008-11-09T00:19:00+00:00,2008-11-09T00:20:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,530
hdfs_window_0020,2008-11-09T00:20:00+00:00,2008-11-09T00:21:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,532
hdfs_window_0021,2008-11-09T00:21:00+00:00,2008-11-09T00:22:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,532
hdfs_window_0022,2008-11-09T00:22:00+00:00,2008-11-09T00:23:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,164,anomaly_window,anomaly_window,high,251
hdfs_window_0023,2008-11-09T00:23:00+00:00,2008-11-09T00:24:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,166,anomaly_window,anomaly_window,high,166
hdfs_window_0024,2008-11-09T00:24:00+00:00,2008-11-09T00:25:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,35,anomaly_window,anomaly_window,medium,480
hdfs_window_0025,2008-11-09T00:25:00+00:00,2008-11-09T00:26:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,534
hdfs_window_0026,2008-11-09T00:26:00+00:00,2008-11-09T00:27:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,530
hdfs_window_0027,2008-11-09T00:27:00+00:00,2008-11-09T00:28:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,533
hdfs_window_0028,2008-11-09T00:28:00+00:00,2008-11-09T00:29:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,68,anomaly_window,anomaly_window,high,155
hdfs_window_0029,2008-11-09T00:29:00+00:00,2008-11-09T00:30:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,152,anomaly_window,anomaly_window,high,152
hdfs_window_0030,2008-11-09T00:30:00+00:00,2008-11-09T00:31:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,47,anomaly_window,anomaly_window,medium,492
hdfs_window_0031,2008-11-09T00:31:00+00:00,2008-11-09T00:32:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,532
hdfs_window_0032,2008-11-09T00:32:00+00:00,2008-11-09T00:33:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,532
hdfs_window_0033,2008-11-09T00:33:00+00:00,2008-11-09T00:34:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,532
hdfs_window_0034,2008-11-09T00:34:00+00:00,2008-11-09T00:35:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,167,anomaly_window,anomaly_window,high,254
hdfs_window_0035,2008-11-09T00:35:00+00:00,2008-11-09T00:36:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,202,anomaly_window,anomaly_window,high,202
hdfs_window_0036,2008-11-09T00:36:00+00:00,2008-11-09T00:37:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,41,anomaly_window,anomaly_window,medium,485
hdfs_window_0037,2008-11-09T00:37:00+00:00,2008-11-09T00:38:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,535
hdfs_window_0038,2008-11-09T00:38:00+00:00,2008-11-09T00:39:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,532
hdfs_window_0039,2008-11-09T00:39:00+00:00,2008-11-09T00:40:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,533
hdfs_window_0040,2008-11-09T00:40:00+00:00,2008-11-09T00:41:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,99,anomaly_window,anomaly_window,high,186
hdfs_window_0041,2008-11-09T00:41:00+00:00,2008-11-09T00:42:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,219,anomaly_window,anomaly_window,high,219
hdfs_window_0042,2008-11-09T00:42:00+00:00,2008-11-09T00:43:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,71,anomaly_window,anomaly_window,high,424
hdfs_window_0043,2008-11-09T00:43:00+00:00,2008-11-09T00:44:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,350
hdfs_window_0044,2008-11-09T00:44:00+00:00,2008-11-09T00:45:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,350
hdfs_window_0045,2008-11-09T00:45:00+00:00,2008-11-09T00:46:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,352
hdfs_window_0046,2008-11-09T00:46:00+00:00,2008-11-09T00:47:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,136,anomaly_window,anomaly_window,high,209
hdfs_window_0047,2008-11-09T00:47:00+00:00,2008-11-09T00:48:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,316,anomaly_window,anomaly_window,high,316
hdfs_window_0048,2008-11-09T00:48:00+00:00,2008-11-09T00:49:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,93,anomaly_window,anomaly_window,high,371
hdfs_window_0049,2008-11-09T00:49:00+00:00,2008-11-09T00:50:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,347
hdfs_window_0050,2008-11-09T00:50:00+00:00,2008-11-09T00:51:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,349
hdfs_window_0051,2008-11-09T00:51:00+00:00,2008-11-09T00:52:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,354
hdfs_window_0052,2008-11-09T00:52:00+00:00,2008-11-09T00:53:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,187,anomaly_window,anomaly_window,high,259
hdfs_window_0053,2008-11-09T00:53:00+00:00,2008-11-09T00:54:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,231,anomaly_window,anomaly_window,high,231
hdfs_window_0054,2008-11-09T00:54:00+00:00,2008-11-09T00:55:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,52,anomaly_window,anomaly_window,high,327
hdfs_window_0055,2008-11-09T00:55:00+00:00,2008-11-09T00:56:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,350
hdfs_window_0056,2008-11-09T00:56:00+00:00,2008-11-09T00:57:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,349
hdfs_window_0057,2008-11-09T00:57:00+00:00,2008-11-09T00:58:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,False,0,clean_window,none,low,351
hdfs_window_0058,2008-11-09T00:58:00+00:00,2008-11-09T00:59:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,278,anomaly_window,anomaly_window,high,353
hdfs_window_0059,2008-11-09T00:59:00+00:00,2008-11-09T01:00:00+00:00,loghub_hdfs_trace_labels_replayed_into_time_windows,True,215,anomaly_window,anomaly_window,high,215
